TIME     I(1.660000000e+01,1.100000000e+01,12) Vin(2.520000000e+00,2.190000000e+00) 
1.119440000e-03  5.357140000e-01 3.030300000e-02 
1.129435000e-03  5.714290000e-01 3.030300000e-02 
1.139430000e-03  5.000000000e-01 3.030300000e-02 
1.149425000e-03  5.357140000e-01 3.030300000e-02 
1.159420000e-03  5.714290000e-01 3.030300000e-02 
1.169415000e-03  5.714290000e-01 3.030300000e-02 
1.179410000e-03  5.714290000e-01 3.030300000e-02 
1.189405000e-03  5.714290000e-01 6.060610000e-02 
1.199400000e-03  5.714290000e-01 6.060610000e-02 
1.209395000e-03  5.714290000e-01 6.060610000e-02 
1.219390000e-03  5.714290000e-01 3.030300000e-02 
1.229385000e-03  6.071430000e-01 3.030300000e-02 
1.239380000e-03  6.071430000e-01 3.030300000e-02 
1.249375000e-03  6.071430000e-01 3.030300000e-02 
1.259370000e-03  6.071430000e-01 6.060610000e-02 
1.269365000e-03  6.071430000e-01 3.030300000e-02 
1.279360000e-03  6.071430000e-01 3.030300000e-02 
1.289355000e-03  6.071430000e-01 3.030300000e-02 
1.299350000e-03  3.928570000e-01 0.000000000e+00 
1.309345000e-03  6.071430000e-01 3.030300000e-02 
1.319340000e-03  6.428570000e-01 3.030300000e-02 
1.329335000e-03  6.071430000e-01 3.030300000e-02 
1.339330000e-03  6.071430000e-01 3.030300000e-02 
1.349325000e-03  6.071430000e-01 6.060610000e-02 
1.359320000e-03  6.428570000e-01 3.030300000e-02 
1.369315000e-03  6.428570000e-01 3.030300000e-02 
1.379310000e-03  6.428570000e-01 3.030300000e-02 
1.389305000e-03  6.428570000e-01 3.030300000e-02 
1.399300000e-03  6.428570000e-01 3.030300000e-02 
1.409295000e-03  6.428570000e-01 6.060610000e-02 
1.419290000e-03  6.428570000e-01 6.060610000e-02 
1.429285000e-03  6.071430000e-01 3.030300000e-02 
1.439280000e-03  6.428570000e-01 3.030300000e-02 
1.449275000e-03  6.428570000e-01 3.030300000e-02 
1.459270000e-03  6.428570000e-01 6.060610000e-02 
1.469265000e-03  6.428570000e-01 3.030300000e-02 
1.479260000e-03  6.428570000e-01 6.060610000e-02 
1.489255000e-03  6.428570000e-01 3.030300000e-02 
1.499250000e-03  6.428570000e-01 3.030300000e-02 
1.509245000e-03  6.428570000e-01 6.060610000e-02 
1.519240000e-03  6.428570000e-01 3.030300000e-02 
1.529235000e-03  6.428570000e-01 3.030300000e-02 
1.539230000e-03  6.428570000e-01 3.030300000e-02 
1.549225000e-03  6.428570000e-01 3.030300000e-02 
1.559220000e-03  6.428570000e-01 3.030300000e-02 
1.569215000e-03  6.428570000e-01 3.030300000e-02 
1.579210000e-03  6.428570000e-01 3.030300000e-02 
1.589205000e-03  6.071430000e-01 3.030300000e-02 
1.599200000e-03  6.428570000e-01 3.030300000e-02 
1.609195000e-03  6.428570000e-01 3.030300000e-02 
1.619190000e-03  6.428570000e-01 3.030300000e-02 
1.629185000e-03  6.428570000e-01 6.060610000e-02 
1.639180000e-03  6.428570000e-01 3.030300000e-02 
1.649175000e-03  6.428570000e-01 3.030300000e-02 
1.659170000e-03  6.428570000e-01 3.030300000e-02 
1.669165000e-03  6.428570000e-01 6.060610000e-02 
1.679160000e-03  6.428570000e-01 6.060610000e-02 
1.689155000e-03  6.428570000e-01 3.030300000e-02 
1.699150000e-03  6.428570000e-01 3.030300000e-02 
1.709145000e-03  6.428570000e-01 6.060610000e-02 
1.719140000e-03  6.428570000e-01 3.030300000e-02 
1.729135000e-03  6.428570000e-01 6.060610000e-02 
1.739130000e-03  6.428570000e-01 6.060610000e-02 
1.749125000e-03  6.428570000e-01 3.030300000e-02 
1.759120000e-03  6.071430000e-01 3.030300000e-02 
1.769115000e-03  6.428570000e-01 3.030300000e-02 
1.779110000e-03  6.428570000e-01 3.030300000e-02 
1.789105000e-03  6.428570000e-01 3.030300000e-02 
1.799100000e-03  6.428570000e-01 3.030300000e-02 
1.809095000e-03  6.428570000e-01 3.030300000e-02 
1.819090000e-03  6.071430000e-01 3.030300000e-02 
1.829085000e-03  6.428570000e-01 3.030300000e-02 
1.839080000e-03  6.071430000e-01 3.030300000e-02 
1.849075000e-03  6.071430000e-01 3.030300000e-02 
1.859070000e-03  6.071430000e-01 3.030300000e-02 
1.869065000e-03  6.071430000e-01 3.030300000e-02 
1.879060000e-03  6.071430000e-01 6.060610000e-02 
1.889055000e-03  6.071430000e-01 3.030300000e-02 
1.899050000e-03  6.071430000e-01 3.030300000e-02 
1.909045000e-03  6.071430000e-01 3.030300000e-02 
1.919040000e-03  6.071430000e-01 3.030300000e-02 
1.929035000e-03  6.071430000e-01 3.030300000e-02 
1.939030000e-03  6.071430000e-01 6.060610000e-02 
1.949025000e-03  6.071430000e-01 6.060610000e-02 
1.959020000e-03  6.071430000e-01 6.060610000e-02 
1.969015000e-03  6.071430000e-01 6.060610000e-02 
1.979010000e-03  6.071430000e-01 3.030300000e-02 
1.989005000e-03  6.071430000e-01 6.060610000e-02 
1.999000000e-03  6.071430000e-01 3.030300000e-02 
2.008995000e-03  6.071430000e-01 3.030300000e-02 
2.018990000e-03  6.071430000e-01 3.030300000e-02 
2.028985000e-03  6.071430000e-01 3.030300000e-02 
2.038980000e-03  7.142860000e-01 6.060610000e-02 
2.048975000e-03  6.071430000e-01 3.030300000e-02 
